freq_GHz,hfss_s11_db,hfss_s21_db,ALPS_s11_db,ALPS_s21_db,ALPS_err_s11_db,ALPS_err_s21_db,AWE_s11_db,AWE_s21_db,AWE_err_s11_db,AWE_err_s21_db,GAWE_s11_db,GAWE_s21_db,GAWE_err_s11_db,GAWE_err_s21_db,MGAWE_s11_db,MGAWE_s21_db,MGAWE_err_s11_db,MGAWE_err_s21_db,WCAWE_s11_db,WCAWE_s21_db,WCAWE_err_s11_db,WCAWE_err_s21_db
40,-0.4048420721224632,-10.505835426352741,-0.40485070594148137,-10.505747057905964,-0.000008633819018166733,0.0000883684467769541,-0.4050061214578859,-10.505744290425858,-0.00016404933542268907,0.0000911359268833678,-0.40485070521923355,-10.50574696169277,-0.000008633096770349624,0.00008846465997081054,-0.4048507059426504,-10.505747057868442,-0.000008633820187176067,0.00008836848429893962,-0.4048507052187466,-10.505746966716378,-0.000008633096283405806,0.00008845963636261445
40.03,-0.5551030216285869,-9.208702791299645,-0.555113646363941,-9.208624866902259,-0.000010624735354070047,0.00007792439738629753,-0.5552647091206502,-9.208622538556746,-0.00016168749206324495,0.00008025274289913398,-0.5551136457523743,-9.208624788659819,-0.000010624123787383866,0.00007800263982638,-0.5551136463654995,-9.208624866864344,-0.00001062473691260113,0.00007792443530085791,-0.5551136457521748,-9.208624792865809,-0.000010624123587876788,0.00007799843383615723
40.06,-0.7688113774408818,-7.898381468378137,-0.7688239828689857,-7.898316378945798,-0.000012605428103884542,0.0000650894323390716,-0.7689690733640496,-7.898314473036011,-0.0001576959231678332,0.00006699534212550873,-0.7688239823653733,-7.898316315606887,-0.000012604924491510516,0.00006515277125007657,-0.7688239828712994,-7.898316378898551,-0.000012605430417589325,0.00006508947958572264,-0.7688239823656948,-7.8983163191143575,-0.000012604924813031104,0.00006514926377931829
40.09,-1.0744236531938787,-6.5922296745517395,-1.0744376103192288,-6.592179949744575,-0.000013957125350128052,0.00004972480716425309,-1.074574177899643,-6.592178452523465,-0.00015052470576426558,0.000051222028274899856,-1.074437609922598,-6.592179898718761,-0.000013956728719399791,0.00004977583297804955,-1.0744376103226785,-6.592179949658754,-0.000013957128799813034,0.000049724892985381075,-1.0744376099236272,-6.592179901631815,-0.000013956729748576535,0.00004977291992425137
40.12,-1.5120391978259335,-5.3163196855510275,-1.5120525551010102,-5.316287612281214,-0.000013357275076675279,0.00003207326981335967,-1.5121769108597547,-5.316286509019703,-0.00013771303382115185,0.00003317653132484111,-1.5120525548113353,-5.31628757138927,-0.000013356985401724586,0.000032114161757412774,-1.5120525551061392,-5.316287612101603,-0.000013357280205683608,0.00003207344942435242,-1.512052554813489,-5.316287573798331,-0.000013356987555557254,0.00003211175269690614
40.15,-2.13573128443365,-4.106568468854815,-2.1357395792991287,-4.106555410421282,-0.000008294865478930546,0.00001305843353271996,-2.135846900076093,-4.106554679051982,-0.00011561564244333411,0.000013789802832953058,-2.135739579115711,-4.106555377834853,-0.000008294682061205094,0.000013091019961386507,-2.135739579306806,-4.106555410064602,-0.000008294873156344806,0.000013058790212738813,-2.135739579119509,-4.106555379818458,-0.000008294685859056017,0.000013089036356994654
40.18,-3.013659533912589,-3.006942976230678,-3.013654043327974,-3.006948458362187,0.000005490584614964433,-0.000005482131508749433,-3.013738841486537,-3.0069480616097106,-0.00007930757394802868,-0.000005085379032543358,-3.0136540432470476,-3.006948432551488,0.000005490665541341144,-0.0000054563208098379334,-3.0136540433393617,-3.006948457718541,0.000005490573227184825,-0.000005481487862724066,-3.013654043253003,-3.0069484341775294,0.00000549065958610484,-0.000005457946851361584
40.21,-4.2243435448349445,-2.0625449872175743,-4.2243090758280095,-2.0625659405038754,0.00003446900693493404,-0.000020953286301139684,-4.224366281318787,-2.0625658202097745,-0.00002273648384232274,-0.000020832992200237044,-4.224309075840569,-2.062565920189969,0.00003446899437520301,-0.000020932972394582805,-4.2243090758449275,-2.0625659394403897,0.000034468990016911505,-0.00002095222281539577,-4.224309075849505,-2.062565921516871,0.00003446898543923993,-0.000020934299296726522
40.24,-5.850377986839531,-1.307643639447217,-5.850290242893442,-1.3076744677727437,0.00008774394608934699,-0.00003082832552658843,-5.850316560715365,-1.3076745471110318,0.00006142612416581983,-0.00003090766381474985,-5.850290242984336,-1.3076744518886352,0.00008774385519494388,-0.000030812441418115455,-5.850290242917756,-1.3076744661401385,0.00008774392177457457,-0.00003082669292142626,-5.850290242996797,-1.3076744529664273,0.00008774384273380065,-0.00003081351921019326
40.27,-7.977417266865019,-0.7536700569063625,-7.9772386226377545,-0.7537039120857036,0.00017864422726443507,-0.0000338551793411801,-7.977233211180125,-0.7537041080861258,0.00018405568489399116,-0.00003405117976329475,-7.977238622788652,-0.7537038997449048,0.00017864407636736246,-0.000033842838542352816,-7.977238622672856,-0.7537039097245894,0.00017864419216273575,-0.00003385281822698705,-7.977238622805638,-0.7537039006160071,0.00017864405938095018,-0.00003384370964465422
