algorithm,points,max_abs_db_s11,mean_abs_db_s11,rms_db_s11,max_abs_db_s21,mean_abs_db_s21,rms_db_s21,max_abs_lin_s11,max_abs_lin_s21,total_seconds,peak_memory_mb
ALPS,101,0.021812002463612146,0.0012972295573006618,0.0033312771648240577,0.0037503764174680043,0.00026686992754490057,0.0007235310578460405,0.00004955343502721643,0.00013077425292701284,189.427427,3869.83984375
AWE,101,0.02328748361449584,0.0013275713354194204,0.00343378924222412,0.003325419621766912,0.00016237676351415518,0.0005388802670089559,0.00004961451354412727,0.00013128714512011808,69.8975397,3728.02734375
GAWE,101,0.021811999631914603,0.0012974668228896108,0.0033312777258864136,0.0033891007698763076,0.000263013943633015,0.000706266804073314,0.00004955342773882432,0.00013077413824114092,58.1712301,3694.13671875
MGAWE,101,0.021811997935984095,0.0012969484733146358,0.0033312310249321436,0.0037505106207866845,0.0002631927657995197,0.0007166683849994656,0.00004473103595148409,0.00012476395291050046,58.3155924,3658.734375
WCAWE,101,0.021811999234785162,0.0012974668176035714,0.0033312776933067645,0.003394521863921085,0.0002631539178920413,0.0007066976051885767,0.00004955342767976045,0.00013077408649431188,63.7601298,3691.17578125
