freq_GHz,hfss_s11_db,hfss_s21_db,AWE15_s11_db,AWE15_s21_db,AWE15_err_s11_db,AWE15_err_s21_db,GAWE30_s11_db,GAWE30_s21_db,GAWE30_err_s11_db,GAWE30_err_s21_db,WCAWE30_s11_db,WCAWE30_s21_db,WCAWE30_err_s11_db,WCAWE30_err_s21_db
40,-0.4048420721224632,-10.505835426352741,-0.4048679729449266,-10.505746172057213,-0.00002590082246339831,0.00008925429552775199,-0.4048507059370986,-10.505747066833408,-0.00000863381463539481,0.0000883595193332809,-0.40485070593776035,-10.505747113066747,-0.000008633815297143244,0.00008831328599434585
40.03,-0.5551030216285869,-9.208702791299645,-0.5551305866659139,-9.208624117995157,-0.0000275650373269265,0.00007867330448796395,-0.5551136463591199,-9.20862487382982,-0.000010624730532926563,0.00007791746982555026,-0.5551136463596605,-9.20862491028911,-0.000010624731073605176,0.00007788101053485263
40.06,-0.7688113774408818,-7.898381468378137,-0.7688405197824761,-7.898315760369692,-0.000029142341594345922,0.0000657080084449646,-0.7688239828636778,-7.898316384276523,-0.000012605422796019283,0.00006508410161387701,-0.7688239828641741,-7.898316412875119,-0.000012605423292288975,0.00006505550301749707
40.09,-1.0744236531938787,-6.5922296745517395,-1.0744535911212263,-6.5921794561075,-0.000029937927347623017,0.000050218444239469306,-1.074437610313265,-6.592179953808849,-0.000013957119386232009,0.00004972074289089079,-1.0744376103138422,-6.592179976117021,-0.000013957119963547981,0.0000496984347186924
40.12,-1.5120391978259335,-5.3163196855510275,-1.5120677276171257,-5.316287238334461,-0.000028529791192166698,0.000032447216566922066,-1.5120525550942103,-5.316287615348312,-0.000013357268276781298,0.000032070202715672735,-1.5120525550950883,-5.316287632648889,-0.000013357269154745666,0.00003205290213870171
40.15,-2.13573128443365,-4.106568468854815,-2.135753581753937,-4.106555149285117,-0.00002229732028702358,0.000013319569697856082,-2.1357395792913674,-4.106555412709429,-0.000008294857717583426,0.000013056145386158846,-2.1357395792927742,-4.106555426045293,-0.000008294859124458043,0.000013042809522190169
40.18,-3.013659533912589,-3.006942976230678,-3.0136664308097894,-3.0069482992614853,-0.000006896897200459051,-0.000005323030807247164,-3.013654043319174,-3.0069484600470995,0.000005490593415036216,-0.000005483816421403276,-3.0136540433213437,-3.0069484702621145,0.000005490591245216336,-0.0000054940314364593235
40.21,-4.2243435448349445,-2.0625449872175743,-4.224319403696245,-2.062565867004688,0.000024141138699640408,-0.00002087978711351468,-4.224309075818382,-2.0625659417259774,0.00003446901656278811,-0.000020954508403114858,-4.224309075821667,-2.0625659494989206,0.00003446901327741614,-0.000020962281346292855
40.24,-5.850377986839531,-1.307643639447217,-5.850298192282909,-1.307674458132391,0.0000797945566217706,-0.00003081868517385011,-5.850290242882991,-1.3076744686436783,0.00008774395653965428,-0.000030829196461246156,-5.850290242887831,-1.3076744745177273,0.00008774395169997007,-0.00003083507051027112
40.27,-7.977417266865019,-0.7536700569063625,-7.977244098233324,-0.7537039425169028,0.00017316863169458685,-0.00003388561054029626,-7.9772386226265715,-0.7537039126934113,0.00017864423844748956,-0.00003385578704884207,-7.977238622633067,-0.7537039171004869,0.00017864423195224077,-0.000033860194124435417
40.3,-10.71372678846101,-0.38505442090320147,-10.71339868276213,-0.385085179809044,0.00032810569888042096,-0.000030758905842531714,-10.71339556402692,-0.3850851308649238,0.0003312244340900605,-0.000030709961722330537,-10.713395564036041,-0.38508513414649087,0.00033122442496846816,-0.00003071324328940417
40.33,-14.256849804872706,-0.1661032083695094,-14.256247830073443,-0.16612676945926055,0.0006019747992631608,-0.000023561089751156228,-14.256246886344439,-0.16612671663317088,0.0006029185282674376,-0.00002350826366148695,-14.256246886357921,-0.16612671905735646,0.0006029185147848892,-0.00002351068784706145
40.36,-19.098880855317407,-0.05377522206413764,-19.09770028909335,-0.05378996484741572,0.0011805662240575998,-0.00001474278327807943,-19.097701597306695,-0.05378991685301814,0.0011792580107119477,-0.000014694788880505183,-19.09770159732849,-0.05378991862896863,0.0011792579889160493,-0.000014696564830996017
40.39,-27.0313091560741,-0.008611601100765231,-27.028185508299963,-0.008617832639432934,0.0031236477741387603,-0.000006231538667703096,-27.028190716039102,-0.008617793109870512,0.0031184400349992814,-0.0000061920091052811155,-27.028190716090883,-0.008617794399580655,0.0031184399832184795,-0.000006193298815423617
40.42,-44.02601827309211,-0.00017186643848879878,-44.04789648915226,-0.00017103600662081984,-0.02187821606014495,8.304318679789365e-7,-44.04783027559144,-0.000171005463816789,-0.021812002499324024,8.609746720097836e-7,-44.04783027545099,-0.00017100639190477897,-0.021812002358878146,8.60046584019806e-7
40.45,-27.453282880216147,-0.007813518425543918,-27.456614599409477,-0.007807553258950966,-0.003331719193329974,0.000005965166592952244,-27.456609300378688,-0.0078075307041149955,-0.0033264201625406997,0.00000598772142892251,-27.456609300339615,-0.007807531365543597,-0.0033264201234679547,0.000005987060000321384
40.48,-23.574431666009765,-0.01911157032242115,-23.576508867260255,-0.01910243819620554,-0.002077201250489935,0.000009132126215609382,-23.576506450562682,-0.01910242210426674,-0.002074784552917208,0.000009148218154411691,-23.576506450538893,-0.019102422570986027,-0.0020747845291282374,0.000009147751435123475
40.51,-21.974165750333356,-0.027653472624799218,-21.975818811868603,-0.0276429352282408,-0.0016530615352472466,0.000010537396558416012,-21.975817435363,-0.02764292406510075,-0.0016516850296426355,0.000010548559698467241,-21.975817435343824,-0.027642924390924424,-0.0016516850104686398,0.000010548233874793644
40.54,-21.474696477341805,-0.031035985386248563,-21.476163934190943,-0.03102547640635837,-0.0014674568491379603,0.000010508979890192643,-21.476163078862477,-0.031025468848425268,-0.0014666015206721283,0.000010516537823294925,-21.47616307884536,-0.031025469073394006,-0.0014666015035551538,0.000010516312854556842
40.57,-21.723094233537353,-0.029304836715566763,-21.724487620793212,-0.02929541307893415,-0.0013933872558595795,0.00000942363663261267,-21.72448706130855,-0.029295408073928365,-0.0013928277711983128,0.000009428641638397489,-21.7244870612914,-0.029295408227515137,-0.0013928277540458112,0.000009428488051625716
40.6,-22.619773314915065,-0.023823062407252696,-22.62116787609221,-0.023815398142221774,-0.0013945611771433164,0.000007664265030921796,-22.621167493942416,-0.023815394896390844,-0.0013941790273506172,0.000007667510861852217,-22.621167493923537,-0.023815395000028335,-0.0013941790084714967,0.000007667407224361267
40.63,-24.215849726874804,-0.016482504507885645,-24.21732160584935,-0.016476911807473602,-0.0014718789745451488,0.000005592700412043045,-24.217321331116874,-0.01647690974455031,-0.001471604242070157,0.000005594763335333569,-24.217321331094883,-0.016476909813590068,-0.0014716042200788593,0.0000055946942955770185
40.66,-26.75640241590137,-0.009174929491467199,-26.758072648915807,-0.009171399622166159,-0.001670233014436917,0.0000035298693010395177,-26.758072434794066,-0.00917139833648812,-0.0016700188926961346,0.000003531154979079243,-26.758072434764127,-0.009171398381984887,-0.0016700188627574164,0.0000035311094823114314
40.69,-30.988958602502322,-0.003459883166214888,-30.991143962686976,-0.0034581428360053153,-0.002185360184654428,0.0000017403302095728677,-30.991143765165123,-0.003458142049891841,-0.002185162662801332,0.000001741116323047097,-30.99114376511833,-0.0034581420795162013,-0.0021851626160085402,0.0000017410866986868404
40.72,-40.52582129241756,-0.0003847879128517214,-40.530581625788585,-0.00038436684657170437,-0.004760333371024217,4.2106628001702595e-7,-40.53058129646166,-0.00038436637463788855,-0.0047600040441011515,4.2153821383283724e-7,-40.530581296341694,-0.0003843663936726264,-0.004760003924133116,4.2151917909496713e-7
40.75,-40.10620782803191,-0.00042382319343812385,-40.103090713850385,-0.0004241277671723459,0.0031171141815278247,-3.0457373422203976e-7,-40.103090871545206,-0.0004241274886474731,0.0031169564867070676,-3.0429520934927793e-7,-40.10309087173904,-0.00042412750079377066,0.0031169562928710093,-3.0430735564680907e-7
40.78,-30.930198164606693,-0.003507032856403712,-30.929719169963597,-0.0035074199643502315,0.00047899464309608675,-3.8710794651947503e-7,-30.92971919928589,-0.0035074198024794096,0.0004789653208021605,-3.8694607569760703e-7,-30.929719199346863,-0.0035074198101720626,0.0004789652598304883,-3.869537683505453e-7
40.81,-26.78583176993126,-0.00911290199643645,-26.78590536608336,-0.009112747474366816,-0.00007359615209878712,1.5452206963452453e-7,-26.785905375347006,-0.009112747381474107,-0.00007360541574641388,1.5461496234367433e-7,-26.78590537538482,-0.009112747386324936,-0.00007360545356149828,1.5461011151386705e-7
40.84,-24.23784477160237,-0.016399081725999704,-24.238173356723387,-0.01639783871596835,-0.0003285851210179658,0.0000012430100313556847,-24.23817336014812,-0.0163978386631016,-0.0003285885457522397,0.0000012430628981048575,-24.238173360176273,-0.01639783866616526,-0.0003285885739039429,0.000001243059834444421
40.87,-22.525274857992272,-0.024348582660028133,-22.52576503622135,-0.02434582694784978,-0.0004901782290787082,0.0000027557121783546024,-22.52576503758744,-0.024345826917837876,-0.000490179595168172,0.0000027557421902572876,-22.52576503761061,-0.02434582691979709,-0.0004901796183389706,0.0000027557402310432466
40.9,-21.35412657703452,-0.03191290369931223,-21.354742039493715,-0.03190836482379631,-0.0006154624591943048,0.000004538875515922025,-21.354742040067556,-0.03190836480664554,-0.0006154630330357236,0.000004538892666695882,-21.354742040087935,-0.031908364807937656,-0.0006154630534140892,0.000004538891374576692
40.93,-20.58324910036678,-0.0381386166639694,-20.583977200335983,-0.03813219506931837,-0.0007280999692049761,0.0000064215946510293165,-20.583977200590926,-0.03813219505936146,-0.0007281002241477097,0.000006421604607939613,-20.58397720060976,-0.03813219506021283,-0.0007281002429806449,0.000006421603756572025
40.96,-20.138744554431366,-0.04226896266846376,-20.139585975486508,-0.042260734120791385,-0.0008414210551421775,0.000008228547672371744,-20.13958597561029,-0.04226073411485316,-0.0008414211789258275,0.00000822855361059388,-20.139585975627973,-0.042260734115436516,-0.0008414211966076834,0.00000822855302724107
40.99,-19.9833813219277,-0.04381624430263435,-19.98434701127173,-0.04380645318897519,-0.0009656893440315173,0.000009791113659160522,-19.984347011341082,-0.04380645318534843,-0.000965689413384041,0.000009791117285919138,-19.984347011358206,-0.04380645318572934,-0.000965689430508121,0.000009791116905015496
41.02,-20.104642906917366,-0.04260381300698028,-20.105754505532577,-0.0425928561011609,-0.001111598615210596,0.000010956905819384244,-20.105754505579647,-0.04259285609886711,-0.0011115986622804996,0.000010956908113174402,-20.10575450559726,-0.04259285609913941,-0.001111598679894854,0.000010956907840871388
