algorithm,points,requested_order,rom_dimension,retained_columns,deflated_columns,basis_orthogonality_error,wcawe_moment_reconstruction_error,max_passivity_error,max_abs_db_s11,mean_abs_db_s11,rms_db_s11,max_abs_db_s21,mean_abs_db_s21,rms_db_s21,total_seconds,peak_memory_mb
AWE,101,15,0,0,0,0,0,0.0000036038313637742903,0.02187821606014495,0.0012992737609591176,0.0033357129481085645,0.0033169685974634433,0.00017722595828704958,0.0005406133773551636,99.3040098,3876.2890625
GAWE,101,30,13,13,17,3.064215547965432e-14,0,3.8044704941953e-8,0.021812002499324024,0.0012972302396561624,0.0033312771879919108,0.003759727830136228,0.0002675432236881998,0.0007253355445241565,101.2422176,3870.44140625
WCAWE,101,30,15,15,15,4.785061236134425e-14,2.1678080013088684e-16,2.1079670531332084e-7,0.021812002358878146,0.001297229620328194,0.003331277183581816,0.003317742301367943,0.00025051302170777203,0.0006749642549622089,107.6520653,3885.4140625
